,_id,地区,天气,日期,最低温,最高温,风力风向
29,61b07e1403b7968d1fb4b270,53698,晴,2013-12-30 周一,3°,12°,西风3-4级~微风
30,61b07e1403b7968d1fb4b271,53698,晴,2013-12-31 周二,2°,12°,西风微风
31,61b07e2f03b7968d1fb4be05,53698,多云~晴,2021-12-01 周三,1°,10°,西南风1级
32,61b07e2f03b7968d1fb4be06,53698,多云~晴,2021-12-02 周四,2°,13°,西北风2级
33,61b07e2f03b7968d1fb4be32,53698,阴~小雪,2020-12-01 周二,-1°,0°,东北风1级
34,61b07e2f03b7968d1fb4be33,53698,阴~晴,2020-12-02 周三,-4°,3°,东北风1级
35,61b07e2f03b7968d1fb4be34,53698,晴,2019-12-01 周日,-3°,9°,西北风2级
36,61b07e2f03b7968d1fb4be35,53698,晴,2019-12-02 周一,1°,9°,西北风2级
37,61b07e2f03b7968d1fb4be38,53698,多云~晴,2021-12-03 周五,-1°,15°,西北风2级
38,61b07e2f03b7968d1fb4be39,53698,多云~晴,2021-12-04 周六,3°,15°,西南风1级
39,61b07e3003b7968d1fb4be61,53698,多云,2018-12-01 周六,1°,7°,东北风1级
40,61b07e3003b7968d1fb4be62,53698,晴,2020-12-03 周四,-4°,5°,西北风2级
41,61b07e3003b7968d1fb4be63,53698,晴,2020-12-04 周五,-4°,5°,西北风2级
42,61b07e3003b7968d1fb4be64,53698,晴,2019-12-03 周二,2°,12°,西北风2级
43,61b07e3003b7968d1fb4be65,53698,晴,2019-12-04 周三,-1°,13°,西北风2级
44,61b07e3003b7968d1fb4be68,53698,多云,2021-12-05 周日,2°,14°,西南风1级
45,61b07e3003b7968d1fb4be8c,53698,晴,2017-12-01 周五,-4°,7°,南风1-2级
46,61b07e3003b7968d1fb4be8d,53698,晴,2017-12-02 周六,-2°,9°,南风1-2级
47,61b07e3003b7968d1fb4be8e,53698,晴,2016-12-01 周四,-1°,10°,北风1-2级
48,61b07e3003b7968d1fb4be8f,53698,晴~霾,2016-12-02 周五,1°,11°,南风1-2级
49,61b07e3003b7968d1fb4be90,53698,阴~多云,2018-12-02 周日,1°,9°,东北风1级
50,61b07e3003b7968d1fb4be91,53698,多云~晴,2018-12-03 周一,-2°,9°,东北风2级
51,61b07e3003b7968d1fb4be92,53698,晴~多云,2020-12-05 周六,-3°,5°,西南风1级
52,61b07e3003b7968d1fb4be93,53698,晴,2020-12-06 周日,-4°,7°,北风2级
53,61b07e3003b7968d1fb4be94,53698,晴,2019-12-05 周四,-2°,6°,西北风2级
54,61b07e3003b7968d1fb4be95,53698,晴,2019-12-06 周五,-2°,7°,东南风1级
55,61b07e3003b7968d1fb4be98,53698,多云~晴,2021-12-06 周一,2°,14°,北风2级
56,61b07e3003b7968d1fb4be99,53698,多云,2021-12-07 周二,0°,10°,东南风1级
57,61b07e3003b7968d1fb4beba,53698,多云~晴,2017-12-03 周日,-5°,6°,北风3-4级
58,61b07e3003b7968d1fb4bebb,53698,晴,2017-12-04 周一,-3°,5°,北风1-2级
59,61b07e3003b7968d1fb4bebc,53698,霾,2016-12-03 周六,2°,11°,南风1-2级
60,61b07e3003b7968d1fb4bebd,53698,霾,2016-12-04 周日,0°,11°,南风1-2级
61,61b07e3003b7968d1fb4bebe,53698,雾~多云,2015-12-01 周二,-2°,3°,南风~西北风微风
62,61b07e3003b7968d1fb4bebf,53698,晴,2015-12-02 周三,-1°,9°,西北风4-5级~3-4级
63,61b07e3003b7968d1fb4bec0,53698,晴~多云,2018-12-04 周二,-3°,6°,东北风1级
64,61b07e3003b7968d1fb4bec1,53698,阴~多云,2018-12-05 周三,-4°,3°,东北风1级
65,61b07e3003b7968d1fb4bec2,53698,晴,2020-12-07 周一,-4°,4°,东风1级
66,61b07e3003b7968d1fb4bec3,53698,阴~多云,2020-12-08 周二,-4°,2°,东南风1级
67,61b07e3003b7968d1fb4bec4,53698,晴~多云,2019-12-07 周六,-1°,8°,东北风1级
68,61b07e3103b7968d1fb4bec5,53698,晴,2019-12-08 周日,2°,10°,东南风1级
69,61b07e3103b7968d1fb4bee6,53698,晴,2017-12-05 周二,-2°,10°,西风3-4级
70,61b07e3103b7968d1fb4bee7,53698,晴~多云,2017-12-06 周三,-2°,10°,北风1-2级
71,61b07e3103b7968d1fb4bee8,53698,晴,2014-12-01 周一,-5°,4°,西北风3-4级
72,61b07e3103b7968d1fb4bee9,53698,晴,2014-12-02 周二,-6°,2°,北风3-4级
73,61b07e3103b7968d1fb4beea,53698,晴,2016-12-05 周一,-2°,9°,北风4-5级
74,61b07e3103b7968d1fb4beeb,53698,小雪~多云,2012-12-01 周六,-4°,2°,南风~北风3-4级~微风
75,61b07e3103b7968d1fb4beec,53698,阴,2012-12-02 周日,-3°,4°,南风~西北风微风~4-5级
76,61b07e3103b7968d1fb4beed,53698,晴,2015-12-03 周四,-1°,7°,西北风~北风3-4级~微风
77,61b07e3103b7968d1fb4beee,53698,晴,2015-12-04 周五,-2°,8°,西北风~北风微风
78,61b07e3103b7968d1fb4beef,53698,晴,2018-12-06 周四,-8°,4°,西北风2级
79,61b07e3103b7968d1fb4bef0,53698,晴,2018-12-07 周五,-9°,0°,东南风2级
80,61b07e3103b7968d1fb4bef1,53698,阴~晴,2020-12-09 周三,-2°,5°,东北风1级
81,61b07e3103b7968d1fb4bef2,53698,雾,2019-12-09 周一,0°,6°,东南风1级
82,61b07e3103b7968d1fb4bef3,53698,晴,2019-12-10 周二,1°,13°,西北风2级
83,61b07e3103b7968d1fb4bf11,53698,多云~晴,2017-12-07 周四,-3°,7°,北风1-2级
84,61b07e3103b7968d1fb4bf12,53698,晴,2017-12-08 周五,-2°,9°,西风1-2级
85,61b07e3103b7968d1fb4bf13,53698,晴,2014-12-03 周三,-5°,3°,北风3-4级~微风
86,61b07e3103b7968d1fb4bf14,53698,晴,2014-12-04 周四,-5°,6°,西北风~北风3-4级~微风
87,61b07e3103b7968d1fb4bf15,53698,多云~阴,2011-12-01 周四,-3°,3°,南风~北风3-4级~微风
88,61b07e3103b7968d1fb4bf16,53698,阴~晴,2011-12-02 周五,-4°,2°,北风3-4级~微风
89,61b07e3103b7968d1fb4bf17,53698,晴,2016-12-06 周二,-1°,10°,南风1-2级
90,61b07e3103b7968d1fb4bf18,53698,霾,2016-12-07 周三,0°,9°,南风1-2级
91,61b07e3103b7968d1fb4bf19,53698,晴,2012-12-03 周一,-4°,7°,西北风3-4级~微风
92,61b07e3103b7968d1fb4bf1a,53698,多云,2012-12-04 周二,-3°,4°,南风~西北风微风~3-4级
93,61b07e3103b7968d1fb4bf1b,53698,晴~多云,2015-12-05 周六,-1°,7°,北风微风
94,61b07e3103b7968d1fb4bf1c,53698,霾~小雪,2015-12-06 周日,-2°,6°,北风微风
95,61b07e3103b7968d1fb4bf1d,53698,晴,2018-12-08 周六,-8°,-2°,东南风1级
96,61b07e3103b7968d1fb4bf1e,53698,晴,2018-12-09 周日,-7°,1°,东南风1级
97,61b07e3103b7968d1fb4bf1f,53698,晴,2020-12-10 周四,-2°,9°,西北风1级
98,61b07e3103b7968d1fb4bf20,53698,晴~多云,2020-12-11 周五,-2°,8°,北风1级
99,61b07e3103b7968d1fb4bf21,53698,晴,2019-12-11 周三,-4°,9°,东南风2级
100,61b07e3103b7968d1fb4bf22,53698,晴,2019-12-12 周四,-1°,8°,东南风1级
101,61b07e3203b7968d1fb4bf3d,53698,晴,2017-12-09 周六,0°,10°,西风3-4级
102,61b07e3203b7968d1fb4bf3e,53698,晴,2017-12-10 周日,-4°,11°,西风3-4级
103,61b07e3203b7968d1fb4bf3f,53698,晴,2014-12-05 周五,-5°,6°,西北风微风
104,61b07e3203b7968d1fb4bf40,53698,晴~多云,2014-12-06 周六,-4°,4°,南风~北风微风
105,61b07e3203b7968d1fb4bf45,53698,多云,2011-12-03 周六,-3°,2°,北风微风
106,61b07e3203b7968d1fb4bf46,53698,阴~多云,2011-12-04 周日,-2°,2°,东北风微风
107,61b07e3203b7968d1fb4bf47,53698,霾~晴,2016-12-08 周四,-2°,12°,北风4-5级
108,61b07e3203b7968d1fb4bf48,53698,多云,2016-12-09 周五,-3°,6°,北风1-2级
109,61b07e3203b7968d1fb4bf49,53698,晴,2012-12-05 周三,-6°,5°,北风微风
110,61b07e3203b7968d1fb4bf4a,53698,阴,2012-12-06 周四,-6°,2°,南风~北风微风
111,61b07e3203b7968d1fb4bf4b,53698,霾,2015-12-07 周一,-1°,4°,北风微风
112,61b07e3203b7968d1fb4bf4c,53698,霾,2015-12-08 周二,-1°,4°,南风~北风微风
113,61b07e3203b7968d1fb4bf4d,53698,多云,2018-12-10 周一,-6°,1°,西北风1级
114,61b07e3203b7968d1fb4bf4e,53698,晴,2018-12-11 周二,-6°,2°,西北风2级
115,61b07e3203b7968d1fb4bf4f,53698,多云~晴,2020-12-12 周六,-4°,0°,西北风2级
116,61b07e3203b7968d1fb4bf50,53698,晴,2020-12-13 周日,-7°,0°,北风3级
117,61b07e3203b7968d1fb4bf51,53698,晴~多云,2019-12-13 周五,-2°,11°,东北风1级
118,61b07e3203b7968d1fb4bf52,53698,多云~阴,2019-12-14 周六,0°,4°,东南风1级
119,61b07e3203b7968d1fb4bf6b,53698,晴,2017-12-11 周一,-6°,5°,北风1-2级
120,61b07e3203b7968d1fb4bf6c,53698,晴,2017-12-12 周二,-7°,2°,南风1-2级
121,61b07e3203b7968d1fb4bf6d,53698,晴,2014-12-07 周日,-5°,6°,北风微风
122,61b07e3203b7968d1fb4bf6e,53698,晴~多云,2014-12-08 周一,-4°,4°,南风~北风微风
123,61b07e3203b7968d1fb4bf75,53698,小雪,2011-12-05 周一,-2°,2°,东北风微风
124,61b07e3203b7968d1fb4bf76,53698,阴~雨夹雪,2011-12-06 周二,-2°,3°,南风~北风微风
125,61b07e3203b7968d1fb4bf77,53698,霾,2016-12-10 周六,-2°,6°,南风1-2级
126,61b07e3203b7968d1fb4bf78,53698,霾,2016-12-11 周日,-2°,5°,南风1-2级
127,61b07e3203b7968d1fb4bf79,53698,晴~多云,2012-12-07 周五,-6°,1°,北风~西北风微风~3-4级
128,61b07e3203b7968d1fb4bf7a,53698,晴,2012-12-08 周六,-7°,2°,西北风3-4级
129,61b07e3203b7968d1fb4bf7b,53698,霾,2015-12-09 周三,0°,3°,南风~北风微风
130,61b07e3203b7968d1fb4bf7c,53698,晴,2018-12-12 周三,-6°,5°,东南风1级
131,61b07e3203b7968d1fb4bf7d,53698,晴,2018-12-13 周四,-6°,3°,东南风2级
132,61b07e3203b7968d1fb4bf7e,53698,晴,2020-12-14 周一,-7°,1°,南风1级
133,61b07e3203b7968d1fb4bf7f,53698,晴,2020-12-15 周二,-7°,1°,东北风1级
134,61b07e3203b7968d1fb4bf80,53698,中雪~小雪,2019-12-15 周日,0°,4°,西北风1级
135,61b07e3203b7968d1fb4bf81,53698,阴~多云,2019-12-16 周一,1°,7°,西北风1级
136,61b07e3203b7968d1fb4bf97,53698,多云~小雪,2017-12-13 周三,-6°,0°,南风1-2级
137,61b07e3203b7968d1fb4bf98,53698,小雪~阴,2017-12-14 周四,-4°,0°,南风1-2级
138,61b07e3203b7968d1fb4bf99,53698,阴~小雪,2014-12-09 周二,-3°,2°,南风~北风微风
139,61b07e3203b7968d1fb4bf9a,53698,晴,2014-12-10 周三,-4°,7°,西北风3-4级~微风
140,61b07e3303b7968d1fb4bfa5,53698,晴,2011-12-07 周三,-5°,5°,北风4-5级
141,61b07e3303b7968d1fb4bfa6,53698,晴,2011-12-08 周四,-6°,3°,西北风3-4级~微风
142,61b07e3303b7968d1fb4bfa7,53698,霾~雨夹雪,2016-12-12 周一,-1°,6°,南风1-2级
143,61b07e3303b7968d1fb4bfa8,53698,阴~多云,2016-12-13 周二,-4°,3°,北风3-4级
144,61b07e3303b7968d1fb4bfa9,53698,晴,2012-12-09 周日,-6°,3°,北风3-4级~微风
145,61b07e3303b7968d1fb4bfaa,53698,多云,2012-12-10 周一,-6°,2°,北风微风
146,61b07e3303b7968d1fb4bfab,53698,雾~多云,2015-12-10 周四,-2°,3°,东北风~北风微风
147,61b07e3303b7968d1fb4bfac,53698,多云~霾,2015-12-11 周五,-2°,5°,北风微风
148,61b07e3303b7968d1fb4bfad,53698,晴~多云,2018-12-14 周五,-5°,4°,东南风1级
149,61b07e3303b7968d1fb4bfae,53698,多云~晴,2018-12-15 周六,-3°,5°,东北风1级
150,61b07e3303b7968d1fb4bfaf,53698,晴,2020-12-16 周三,-6°,3°,南风1级
151,61b07e3303b7968d1fb4bfb0,53698,多云~晴,2020-12-17 周四,-5°,7°,西南风1级
152,61b07e3303b7968d1fb4bfb1,53698,晴,2019-12-17 周二,-1°,8°,东北风2级
153,61b07e3303b7968d1fb4bfb2,53698,晴,2019-12-18 周三,-2°,4°,东南风2级
154,61b07e3303b7968d1fb4bfc6,53698,多云~晴,2017-12-15 周五,-4°,3°,无持续风向3-4级
155,61b07e3303b7968d1fb4bfc7,53698,晴,2017-12-16 周六,-4°,5°,西风3-4级
156,61b07e3303b7968d1fb4bfc8,53698,晴,2014-12-11 周四,-3°,6°,西北风~西风3-4级~微风
157,61b07e3303b7968d1fb4bfc9,53698,晴,2014-12-12 周五,-4°,6°,西北风3-4级~微风
158,61b07e3303b7968d1fb4bfd4,53698,晴~多云,2011-12-09 周五,-4°,4°,西风3-4级~微风
159,61b07e3303b7968d1fb4bfd5,53698,晴,2011-12-10 周六,-3°,9°,西风3-4级~微风
160,61b07e3303b7968d1fb4bfd6,53698,晴,2016-12-14 周三,-4°,4°,南风1-2级
161,61b07e3303b7968d1fb4bfd7,53698,霾~晴,2016-12-15 周四,-4°,7°,西北风1-2级
162,61b07e3303b7968d1fb4bfd8,53698,阴~多云,2012-12-11 周二,-5°,2°,南风~北风微风
163,61b07e3303b7968d1fb4bfd9,53698,多云~阴,2012-12-12 周三,-3°,2°,南风~北风微风
164,61b07e3303b7968d1fb4bfda,53698,霾,2015-12-12 周六,-1°,5°,南风~北风微风
165,61b07e3303b7968d1fb4bfdb,53698,霾~雨夹雪,2015-12-13 周日,-1°,5°,北风微风
166,61b07e3303b7968d1fb4bfdc,53698,晴,2018-12-16 周日,-1°,10°,西北风2级
167,61b07e3303b7968d1fb4bfdd,53698,晴,2018-12-17 周一,-2°,10°,西北风2级
168,61b07e3303b7968d1fb4bfde,53698,晴~多云,2020-12-18 周五,-6°,3°,东北风2级
169,61b07e3303b7968d1fb4bfdf,53698,晴,2020-12-19 周六,-5°,5°,南风1级
170,61b07e3303b7968d1fb4bfe0,53698,晴,2019-12-19 周四,-6°,5°,东北风2级
171,61b07e3303b7968d1fb4bfe1,53698,晴,2019-12-20 周五,-3°,4°,东北风1级
172,61b07e3303b7968d1fb4bfed,53698,晴,2017-12-17 周日,-1°,9°,西风1-2级
173,61b07e3303b7968d1fb4bfee,53698,晴,2014-12-13 周六,-4°,6°,西北风~北风微风
174,61b07e3303b7968d1fb4bffb,53698,晴,2011-12-11 周日,-3°,10°,西风~北风微风
175,61b07e3303b7968d1fb4bffc,53698,晴~多云,2011-12-12 周一,-2°,10°,南风~北风微风
176,61b07e3303b7968d1fb4bffd,53698,霾,2016-12-16 周五,-2°,9°,南风1-2级
177,61b07e3303b7968d1fb4bffe,53698,霾,2016-12-17 周六,-1°,8°,南风1-2级
178,61b07e3303b7968d1fb4bfff,53698,中雪~小雪,2012-12-13 周四,-3°,0°,南风~北风微风
179,61b07e3303b7968d1fb4c000,53698,阴~雾,2012-12-14 周五,-3°,2°,南风~北风微风
180,61b07e3303b7968d1fb4c001,53698,霾~晴,2015-12-14 周一,-1°,7°,西北风3-4级
181,61b07e3303b7968d1fb4c002,53698,晴,2015-12-15 周二,-2°,8°,西北风4-5级~3-4级
182,61b07e3303b7968d1fb4c003,53698,晴,2018-12-18 周二,-3°,10°,西北风2级
183,61b07e3303b7968d1fb4c004,53698,晴~多云,2018-12-19 周三,-3°,9°,东北风1级
184,61b07e3303b7968d1fb4c005,53698,晴,2020-12-20 周日,-4°,6°,西北风1级
185,61b07e3303b7968d1fb4c006,53698,晴,2020-12-21 周一,-3°,7°,西南风1级
186,61b07e3303b7968d1fb4c007,53698,晴,2019-12-21 周六,-4°,4°,东北风1级
187,61b07e3303b7968d1fb4c008,53698,晴,2019-12-22 周日,-4°,4°,东北风1级
188,61b07e3403b7968d1fb4c017,53698,晴,2017-12-18 周一,-2°,10°,西北风3-4级
189,61b07e3403b7968d1fb4c018,53698,多云,2014-12-14 周日,-2°,7°,南风~北风微风
190,61b07e3403b7968d1fb4c019,53698,晴,2014-12-15 周一,-4°,7°,西北风4-5级~3-4级
191,61b07e3403b7968d1fb4c028,53698,晴,2011-12-13 周二,-3°,8°,南风~北风微风
192,61b07e3403b7968d1fb4c029,53698,霾,2016-12-18 周日,-2°,6°,南风1-2级
193,61b07e3403b7968d1fb4c02a,53698,霾,2016-12-19 周一,-2°,6°,南风1-2级
194,61b07e3403b7968d1fb4c02b,53698,多云~小雪,2012-12-15 周六,-1°,4°,南风~北风微风
195,61b07e3403b7968d1fb4c02c,53698,小雨~阴,2012-12-16 周日,-2°,3°,东北风~北风微风
196,61b07e3403b7968d1fb4c02d,53698,晴,2015-12-16 周三,-4°,7°,西北风3-4级~微风
197,61b07e3403b7968d1fb4c02e,53698,晴,2015-12-17 周四,-4°,6°,西南风~西北风3-4级~微风
198,61b07e3403b7968d1fb4c02f,53698,多云,2018-12-20 周四,-2°,6°,东北风1级
199,61b07e3403b7968d1fb4c030,53698,晴~多云,2020-12-22 周二,-2°,9°,西南风1级
200,61b07e3403b7968d1fb4c031,53698,阴~晴,2020-12-23 周三,-4°,10°,西北风2级
201,61b07e3403b7968d1fb4c032,53698,多云,2019-12-23 周一,-3°,3°,东北风1级
202,61b07e3403b7968d1fb4c033,53698,多云,2019-12-24 周二,-4°,1°,东北风1级
203,61b07e3403b7968d1fb4c03c,53698,晴,2017-12-19 周二,1°,7°,南风1-2级
204,61b07e3403b7968d1fb4c03d,53698,晴,2017-12-20 周三,-1°,9°,西风1-2级
205,61b07e3403b7968d1fb4c03e,53698,晴,2014-12-16 周二,-4°,5°,西北风3-4级~微风
206,61b07e3403b7968d1fb4c03f,53698,晴,2014-12-17 周三,-3°,7°,西北风微风
207,61b07e3403b7968d1fb4c053,53698,晴,2011-12-14 周三,-5°,4°,西北风3-4级~微风
208,61b07e3403b7968d1fb4c054,53698,晴,2011-12-15 周四,-6°,2°,西北风~北风3-4级
209,61b07e3403b7968d1fb4c055,53698,小雨~雨夹雪,2016-12-20 周二,-2°,6°,南风1-2级
210,61b07e3403b7968d1fb4c056,53698,小雨~霾,2016-12-21 周三,-1°,5°,南风1-2级
211,61b07e3403b7968d1fb4c057,53698,多云~晴,2012-12-17 周一,-5°,3°,北风3-4级~微风
212,61b07e3403b7968d1fb4c058,53698,晴~多云,2012-12-18 周二,-6°,1°,南风~北风微风
213,61b07e3403b7968d1fb4c059,53698,晴,2015-12-18 周五,-4°,6°,北风微风
214,61b07e3403b7968d1fb4c05a,53698,霾,2015-12-19 周六,-2°,4°,北风微风
215,61b07e3403b7968d1fb4c05b,53698,晴,2018-12-21 周五,-1°,9°,东北风1级
216,61b07e3403b7968d1fb4c05c,53698,多云,2018-12-22 周六,-3°,10°,西北风1级
217,61b07e3403b7968d1fb4c05d,53698,晴,2020-12-24 周四,-3°,6°,西北风2级
218,61b07e3403b7968d1fb4c05e,53698,晴,2020-12-25 周五,-3°,10°,东北风1级
219,61b07e3403b7968d1fb4c05f,53698,阴~多云,2019-12-25 周三,-2°,2°,西北风2级
220,61b07e3403b7968d1fb4c060,53698,晴,2019-12-26 周四,-3°,6°,西北风2级
221,61b07e3403b7968d1fb4c066,53698,晴,2017-12-21 周四,-2°,10°,南风1-2级
222,61b07e3403b7968d1fb4c067,53698,多云,2017-12-22 周五,-1°,9°,北风1-2级
223,61b07e3403b7968d1fb4c068,53698,多云,2014-12-18 周四,-2°,7°,南风~北风微风
224,61b07e3403b7968d1fb4c069,53698,晴,2014-12-19 周五,-5°,7°,西北风3-4级
225,61b07e3503b7968d1fb4c07c,53698,晴,2011-12-16 周五,-6°,1°,西北风~北风3-4级~微风
226,61b07e3503b7968d1fb4c07d,53698,晴,2011-12-17 周六,-5°,3°,南风~北风3-4级~微风
227,61b07e3503b7968d1fb4c07e,53698,霾~多云,2016-12-22 周四,-3°,9°,南风1-2级
228,61b07e3503b7968d1fb4c07f,53698,晴~多云,2016-12-23 周五,-4°,5°,北风1-2级
229,61b07e3503b7968d1fb4c080,53698,阴,2012-12-19 周三,-4°,0°,南风~北风微风
230,61b07e3503b7968d1fb4c081,53698,小雪,2012-12-20 周四,-5°,0°,南风~北风微风
231,61b07e3503b7968d1fb4c082,53698,霾,2015-12-20 周日,-3°,5°,南风~北风微风
232,61b07e3503b7968d1fb4c083,53698,霾,2015-12-21 周一,-2°,5°,南风~北风微风
233,61b07e3503b7968d1fb4c084,53698,晴,2018-12-23 周日,-6°,5°,东南风2级
234,61b07e3503b7968d1fb4c085,53698,晴,2018-12-24 周一,-4°,4°,东南风1级
235,61b07e3503b7968d1fb4c086,53698,晴,2020-12-26 周六,-3°,6°,北风1级
236,61b07e3503b7968d1fb4c087,53698,晴~多云,2020-12-27 周日,-3°,5°,东北风1级
237,61b07e3503b7968d1fb4c088,53698,晴,2019-12-27 周五,-3°,7°,西北风1级
238,61b07e3503b7968d1fb4c089,53698,晴,2019-12-28 周六,-3°,6°,东北风1级
239,61b07e3503b7968d1fb4c08d,53698,晴,2017-12-23 周六,-1°,8°,南风1-2级
240,61b07e3503b7968d1fb4c08e,53698,晴,2017-12-24 周日,-3°,9°,北风3-4级
241,61b07e3503b7968d1fb4c08f,53698,晴,2014-12-20 周六,-5°,5°,西北风~北风3-4级~微风
242,61b07e3503b7968d1fb4c0a3,53698,多云,2011-12-18 周日,-4°,4°,南风~北风3-4级~微风
243,61b07e3503b7968d1fb4c0a4,53698,多云~阴,2011-12-19 周一,-3°,3°,南风~北风微风
244,61b07e3503b7968d1fb4c0a5,53698,霾~阴,2016-12-24 周六,-3°,4°,南风1-2级
245,61b07e3503b7968d1fb4c0a6,53698,雨夹雪~小雪,2016-12-25 周日,-2°,3°,北风1-2级
246,61b07e3503b7968d1fb4c0a7,53698,多云,2012-12-21 周五,-6°,1°,北风微风~3-4级
247,61b07e3503b7968d1fb4c0a8,53698,多云~晴,2012-12-22 周六,-9°,3°,北风~西北风3-4级
248,61b07e3503b7968d1fb4c0a9,53698,霾,2015-12-22 周二,-2°,6°,北风微风
249,61b07e3503b7968d1fb4c0aa,53698,霾,2015-12-23 周三,-2°,4°,南风~北风微风
250,61b07e3503b7968d1fb4c0ab,53698,多云,2018-12-25 周二,-6°,4°,东北风2级
251,61b07e3503b7968d1fb4c0ac,53698,多云~小雪,2018-12-26 周三,-7°,0°,东北风2级
252,61b07e3503b7968d1fb4c0ad,53698,阴~多云,2020-12-28 周一,-5°,1°,北风2级
253,61b07e3503b7968d1fb4c0ae,53698,阴~晴,2020-12-29 周二,-11°,-3°,东北风2级
254,61b07e3503b7968d1fb4c0af,53698,多云,2019-12-29 周日,-5°,5°,东北风1级
255,61b07e3503b7968d1fb4c0b0,53698,晴,2019-12-30 周一,-8°,0°,东北风2级
256,61b07e3503b7968d1fb4c0b1,53698,晴,2017-12-25 周一,-4°,6°,南风1-2级
257,61b07e3503b7968d1fb4c0b2,53698,晴,2017-12-26 周二,-5°,4°,东北风1-2级
258,61b07e3503b7968d1fb4c0b3,53698,晴,2014-12-21 周日,-3°,5°,西南风~西北风微风
259,61b07e3503b7968d1fb4c0b4,53698,晴,2014-12-22 周一,-2°,9°,西南风~西北风微风
260,61b07e3503b7968d1fb4c0c9,53698,多云~晴,2011-12-20 周二,-3°,4°,南风~北风微风
261,61b07e3503b7968d1fb4c0ca,53698,晴,2011-12-21 周三,-5°,5°,西北风~北风3-4级~微风
262,61b07e3503b7968d1fb4c0cb,53698,多云~晴,2016-12-26 周一,-1°,3°,北风1-2级
263,61b07e3503b7968d1fb4c0cc,53698,晴,2016-12-27 周二,-5°,4°,北风1-2级
264,61b07e3503b7968d1fb4c0cd,53698,晴,2012-12-23 周日,-10°,0°,北风微风
265,61b07e3503b7968d1fb4c0ce,53698,晴,2012-12-24 周一,-10°,-1°,北风微风
266,61b07e3503b7968d1fb4c0cf,53698,霾~多云,2015-12-24 周四,-2°,5°,南风~北风微风
267,61b07e3503b7968d1fb4c0d0,53698,晴,2015-12-25 周五,-1°,9°,西风~北风微风
268,61b07e3503b7968d1fb4c0d1,53698,小雪~多云,2018-12-27 周四,-11°,-3°,东北风2级
269,61b07e3503b7968d1fb4c0d2,53698,晴,2018-12-28 周五,-7°,0°,西北风2级
